year,start_ts,end_ts,yield,yield_x1,yield_x2,yield_x3,yield_x4,kWh_x1,kWh_x2,kWh_x3,kWh_x4,depr_panel,depr_battery,n_panel,n_battery,grid_amp,grid_volt,spot_min,spot_max,spot_mean,spot_std,pv_kWh_min,pv_kWh_max,pv_kWh_mean,pv_kWh_std
2021,2021-01-18 12:00:00,2021-01-19 23:00:00,15.94,36.97,0.0,1.97,-0.0,85.73,4.56,4.42,0.0,21.24,1.76,100,9,63,400,232.33,446.81,354.77,63.78,0.0,0.38,0.03,0.09
2021,2021-04-06 12:00:00,2021-04-07 23:00:00,70.92,84.81,0.0,41.12,-0.0,302.89,87.46,84.84,0.0,21.24,33.77,100,9,63,400,125.34,613.45,290.24,124.25,0.0,0.83,0.15,0.22
2021,2021-01-15 12:00:00,2021-01-16 23:00:00,68.62,85.65,0.0,13.05,-0.0,177.53,22.9,22.22,0.0,21.24,8.84,100,9,63,400,358.34,740.17,471.46,110.48,0.0,0.46,0.07,0.14
2021,2021-02-24 12:00:00,2021-02-25 23:00:00,16.42,37.66,0.0,0.0,-0.0,144.55,0.0,0.0,0.0,21.24,0.0,100,9,63,400,176.23,442.16,256.09,55.83,0.0,0.2,0.05,0.08
2021,2021-05-18 12:00:00,2021-05-19 23:00:00,226.13,219.69,0.0,67.48,-0.0,394.49,103.11,100.02,0.0,21.24,39.81,100,9,63,400,447.37,757.15,570.77,88.14,0.0,0.64,0.18,0.21
2021,2021-06-27 12:00:00,2021-06-28 23:00:00,246.06,215.6,0.0,121.17,-6.78,357.97,133.31,157.51,29.07,21.24,62.69,100,9,63,400,225.47,921.83,605.12,161.96,0.0,0.79,0.23,0.27
2021,2021-01-17 12:00:00,2021-01-18 23:00:00,28.79,49.82,0.0,1.97,-0.0,111.59,4.56,4.42,0.0,21.24,1.76,100,9,63,400,281.43,587.12,418.44,77.53,0.0,0.38,0.04,0.1
2021,2021-10-16 12:00:00,2021-10-17 23:00:00,166.73,63.73,0.0,239.33,-31.19,87.89,49.39,210.79,167.91,21.24,83.89,100,9,63,400,25.3,1772.85,650.84,544.17,0.0,0.28,0.05,0.08
2021,2021-12-12 12:00:00,2021-12-13 23:00:00,379.48,245.61,0.0,323.72,-112.56,112.21,41.21,140.84,103.98,21.24,56.05,100,9,63,400,350.09,2567.2,1718.32,562.84,0.0,0.37,0.06,0.11
2021,2021-02-11 12:00:00,2021-02-12 23:00:00,259.05,192.33,0.0,172.55,-16.35,278.07,131.87,171.46,44.89,21.24,68.24,100,9,63,400,355.32,1859.38,636.89,363.79,0.0,0.69,0.16,0.24
2021,2021-12-14 12:00:00,2021-12-15 23:00:00,184.65,110.89,0.0,245.24,-94.63,105.36,24.65,139.71,119.38,21.24,55.6,100,9,63,400,111.32,2903.01,1074.4,885.4,0.0,0.37,0.05,0.1
2021,2021-08-29 12:00:00,2021-08-30 23:00:00,198.79,180.3,0.0,67.23,-0.0,250.23,71.25,69.11,0.0,21.24,27.51,100,9,63,400,541.36,988.42,744.02,147.86,0.0,0.75,0.12,0.2
2021,2021-07-09 12:00:00,2021-07-10 23:00:00,250.68,237.53,0.0,74.84,-0.0,406.51,104.78,101.64,0.0,21.24,40.45,100,9,63,400,489.41,744.04,627.17,81.66,0.0,0.81,0.23,0.27
2021,2021-10-28 12:00:00,2021-10-29 23:00:00,166.31,154.04,0.0,97.64,-10.3,243.47,63.83,135.25,75.6,21.24,53.83,100,9,63,400,90.6,871.68,562.7,158.87,0.0,0.51,0.11,0.18
2021,2021-08-13 12:00:00,2021-08-14 23:00:00,183.72,168.5,0.0,74.0,-0.0,331.72,97.24,94.32,0.0,21.24,37.54,100,9,63,400,338.96,873.69,567.68,137.56,0.0,0.76,0.16,0.22
2021,2021-12-15 12:00:00,2021-12-16 23:00:00,289.46,192.41,0.0,160.72,-8.79,156.76,5.49,84.53,81.65,21.24,33.64,100,9,63,400,104.25,2778.31,896.67,615.7,0.0,0.39,0.06,0.12
2021,2021-07-15 12:00:00,2021-07-16 23:00:00,232.71,242.14,0.0,25.59,-0.0,365.6,35.7,34.63,0.0,21.24,13.78,100,9,63,400,522.71,967.12,652.67,90.78,0.0,0.51,0.15,0.16
2021,2021-03-21 12:00:00,2021-03-22 23:00:00,64.61,74.17,0.0,43.07,-0.0,236.16,81.32,78.88,0.0,21.24,31.39,100,9,63,400,123.21,556.95,386.09,119.95,0.0,0.83,0.13,0.22
2021,2021-12-04 12:00:00,2021-12-05 23:00:00,56.82,16.74,0.0,142.2,-49.36,13.84,0.0,79.2,81.65,21.24,31.52,100,9,63,400,601.72,1886.96,1122.2,421.66,0.0,0.03,0.01,0.01
2021,2021-05-21 12:00:00,2021-05-22 23:00:00,12.49,33.02,0.0,11.65,-0.92,339.56,47.49,25.2,18.02,21.24,10.03,100,9,63,400,0.22,462.36,166.58,142.4,0.0,0.83,0.21,0.28
