HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR,Date,Hour
2021-01-05 02:00:00,2021-01-05 03:00:00,DK2,201.869995,27.139999,2021-01-05,3
2021-01-05 03:00:00,2021-01-05 04:00:00,DK2,206.699997,27.790001,2021-01-05,4
2021-01-05 04:00:00,2021-01-05 05:00:00,DK2,221.729996,29.809999,2021-01-05,5
2021-01-05 05:00:00,2021-01-05 06:00:00,DK2,266.130005,35.779999,2021-01-05,6
2021-01-05 06:00:00,2021-01-05 07:00:00,DK2,398.970001,53.639999,2021-01-05,7
2021-01-05 07:00:00,2021-01-05 08:00:00,DK2,446.279999,60.0,2021-01-05,8
2021-01-05 08:00:00,2021-01-05 09:00:00,DK2,447.170013,60.119999,2021-01-05,9
2021-01-05 09:00:00,2021-01-05 10:00:00,DK2,455.059998,61.18,2021-01-05,10
2021-01-05 10:00:00,2021-01-05 11:00:00,DK2,464.579987,62.459999,2021-01-05,11
2021-01-05 11:00:00,2021-01-05 12:00:00,DK2,457.290009,61.48,2021-01-05,12
2021-01-05 12:00:00,2021-01-05 13:00:00,DK2,463.309998,62.290001,2021-01-05,13
2021-01-05 13:00:00,2021-01-05 14:00:00,DK2,461.450012,62.040001,2021-01-05,14
2021-01-05 14:00:00,2021-01-05 15:00:00,DK2,464.950012,62.509998,2021-01-05,15
2021-01-05 15:00:00,2021-01-05 16:00:00,DK2,477.970001,64.260002,2021-01-05,16
2021-01-05 16:00:00,2021-01-05 17:00:00,DK2,487.929993,65.599998,2021-01-05,17
2021-01-05 17:00:00,2021-01-05 18:00:00,DK2,447.25,60.130001,2021-01-05,18
2021-01-05 18:00:00,2021-01-05 19:00:00,DK2,406.559998,54.66,2021-01-05,19
2021-01-05 19:00:00,2021-01-05 20:00:00,DK2,303.320007,40.779999,2021-01-05,20
2021-01-05 20:00:00,2021-01-05 21:00:00,DK2,294.540009,39.599998,2021-01-05,21
2021-01-05 21:00:00,2021-01-05 22:00:00,DK2,238.460007,32.060001,2021-01-05,22
2021-01-05 22:00:00,2021-01-05 23:00:00,DK2,217.259995,29.209999,2021-01-05,23
2021-01-05 23:00:00,2021-01-06 00:00:00,DK2,221.880005,29.83,2021-01-06,0
2021-01-06 00:00:00,2021-01-06 01:00:00,DK2,213.619995,28.719999,2021-01-06,1
2021-01-06 01:00:00,2021-01-06 02:00:00,DK2,209.080002,28.110001,2021-01-06,2
2021-01-06 02:00:00,2021-01-06 03:00:00,DK2,208.119995,27.98,2021-01-06,3
2021-01-06 03:00:00,2021-01-06 04:00:00,DK2,209.449997,28.16,2021-01-06,4
2021-01-06 04:00:00,2021-01-06 05:00:00,DK2,215.699997,29.0,2021-01-06,5
2021-01-06 05:00:00,2021-01-06 06:00:00,DK2,228.5,30.719999,2021-01-06,6
2021-01-06 06:00:00,2021-01-06 07:00:00,DK2,264.350006,35.540001,2021-01-06,7
2021-01-06 07:00:00,2021-01-06 08:00:00,DK2,291.420013,39.18,2021-01-06,8
2021-01-06 08:00:00,2021-01-06 09:00:00,DK2,311.5,41.880001,2021-01-06,9
2021-01-06 09:00:00,2021-01-06 10:00:00,DK2,342.670013,46.07,2021-01-06,10
2021-01-06 10:00:00,2021-01-06 11:00:00,DK2,336.720001,45.27,2021-01-06,11
2021-01-06 11:00:00,2021-01-06 12:00:00,DK2,343.709991,46.209999,2021-01-06,12
2021-01-06 12:00:00,2021-01-06 13:00:00,DK2,352.190002,47.349998,2021-01-06,13
2021-01-06 13:00:00,2021-01-06 14:00:00,DK2,381.640015,51.310001,2021-01-06,14
2021-01-06 14:00:00,2021-01-06 15:00:00,DK2,408.350006,54.900002,2021-01-06,15
2021-01-06 15:00:00,2021-01-06 16:00:00,DK2,434.380005,58.400002,2021-01-06,16
2021-01-06 16:00:00,2021-01-06 17:00:00,DK2,445.76001,59.93,2021-01-06,17
2021-01-06 17:00:00,2021-01-06 18:00:00,DK2,414.070007,55.669998,2021-01-06,18
2021-01-06 18:00:00,2021-01-06 19:00:00,DK2,373.76001,50.25,2021-01-06,19
2021-01-06 19:00:00,2021-01-06 20:00:00,DK2,296.329987,39.84,2021-01-06,20
2021-01-06 20:00:00,2021-01-06 21:00:00,DK2,297.0,39.93,2021-01-06,21
2021-01-06 21:00:00,2021-01-06 22:00:00,DK2,287.850006,38.700001,2021-01-06,22
2021-01-06 22:00:00,2021-01-06 23:00:00,DK2,241.740005,32.5,2021-01-06,23
2021-01-06 23:00:00,2021-01-07 00:00:00,DK2,320.440002,43.080002,2021-01-07,0
2021-01-07 00:00:00,2021-01-07 01:00:00,DK2,304.230011,40.900002,2021-01-07,1
2021-01-07 01:00:00,2021-01-07 02:00:00,DK2,291.51001,39.189999,2021-01-07,2
2021-01-07 02:00:00,2021-01-07 03:00:00,DK2,295.899994,39.779999,2021-01-07,3
2021-01-07 03:00:00,2021-01-07 04:00:00,DK2,307.049988,41.279999,2021-01-07,4
2021-01-07 04:00:00,2021-01-07 05:00:00,DK2,338.73999,45.540001,2021-01-07,5
2021-01-07 05:00:00,2021-01-07 06:00:00,DK2,416.320007,55.970001,2021-01-07,6
2021-01-07 06:00:00,2021-01-07 07:00:00,DK2,504.320007,67.800003,2021-01-07,7
2021-01-07 07:00:00,2021-01-07 08:00:00,DK2,643.48999,86.510002,2021-01-07,8
2021-01-07 08:00:00,2021-01-07 09:00:00,DK2,623.780029,83.860001,2021-01-07,9
2021-01-07 09:00:00,2021-01-07 10:00:00,DK2,613.210022,82.440002,2021-01-07,10
2021-01-07 10:00:00,2021-01-07 11:00:00,DK2,639.619995,85.989998,2021-01-07,11
2021-01-07 11:00:00,2021-01-07 12:00:00,DK2,630.099976,84.709999,2021-01-07,12
2021-01-07 12:00:00,2021-01-07 13:00:00,DK2,612.099976,82.290001,2021-01-07,13
2021-01-07 13:00:00,2021-01-07 14:00:00,DK2,584.799988,78.620003,2021-01-07,14
2021-01-07 14:00:00,2021-01-07 15:00:00,DK2,606.73999,81.57,2021-01-07,15
2021-01-07 15:00:00,2021-01-07 16:00:00,DK2,667.070007,89.68,2021-01-07,16
2021-01-07 16:00:00,2021-01-07 17:00:00,DK2,743.830017,100.0,2021-01-07,17
2021-01-07 17:00:00,2021-01-07 18:00:00,DK2,672.650024,90.43,2021-01-07,18
2021-01-07 18:00:00,2021-01-07 19:00:00,DK2,597.150024,80.279999,2021-01-07,19
2021-01-07 19:00:00,2021-01-07 20:00:00,DK2,496.880005,66.800003,2021-01-07,20
2021-01-07 20:00:00,2021-01-07 21:00:00,DK2,441.309998,59.330002,2021-01-07,21
2021-01-07 21:00:00,2021-01-07 22:00:00,DK2,433.359985,58.259998,2021-01-07,22
